ID,Description,Theme,Priority,Acceptance Criteria,Business Value,Predecessor ID,Successor ID,Sprint,Estimates,Actuals,Remaining,Status,Notes
11,"Pruebas de BD espacial 
Delimitar cuencas a partir de las capas preprocesadas del DEM 30 y 90m
Recursos",S3 -> Carga de información  en la  Geo-database,Por Definir,"1.
2.
3.",,,,S3,0,,0,Backlog,
12,"Se require integrar información base de vias(tipo I,II,II,calle y carrera), centros poblados, barrios, veredas, Bogotá, Cali, Barraquilla, Medellin, Cartagena, Bucaramanga, Manizales, Pereira",S3 -> Carga de información  en la  Geo-database,Por Definir,"1.
2.
3.","Poder definir y optimizar rutas para visitas de clientes y potenciales clientes,",,,S3,0,,0,Backlog,
13,"Pruebas de BD espacial 
Interpolación a partir de datos de tablas de Geo y de datos de la DB
Tomar los datos de la BD hidrometeorologica,  hacer la interpolación por IDW y guardar  y consultar el resultado en el esquerma temporal",S3 -> Carga de información  en la  Geo-database,Por Definir,"1.
2.
3.",,,,S3,0,,0,Backlog,
14,Pruebas de consulta espaciales y consultas a la BD,S3 -> Carga de información  en la  Geo-database,Por Definir,"1.
2.
3.",,,,S3,0,,0,Backlog,
15,Definir el sistema de coordenadas ,S3 -> Carga de información  en la  Geo-database,Por Definir,"1.
2.
3.",,,,S3,0,,0,Backlog,
16,Levantamiento de información secundaria de clientes del mercado no regulado,S3 -> Carga de información  en la  Geo-database,Por Definir,"1.
2.
3.",,,,S3,0,,0,Backlog,
17,Requerimos  recopilar e integrar información  predial para georreferenciar clientes y clientes potenciales de energía y gas,S4 -> Integración de Fuel and Gas,Por Definir,"1.
2.
3.",,,,S4,0,,0,Backlog,
18,Queremos recopilar e integrar la información de gasoductos de transporte del SNT para seguimiento de capacidades contratadas y disponibles,S4 -> Integración de Fuel and Gas,Por Definir,"1.
2.
3.",,,,S4,0,,0,Backlog,
19,"La BD que almacena hidrometeorología no debe depender del software de hidrología, debe ser independiente",S5 -> Agregar capas complementarias e integración con modelo de hidrología,Must Have,"1.exista la información
2. se requiere el raster, (
3.",,,,S5,0,,0,Backlog,"La fuente no es pública, se publica el resultado y publican un dibujo (jpg), requerimos el origen con el cual se generó el dibujo"
20,Me gustaría tener información referente al identificador de las estaciones,S5 -> Agregar capas complementarias e integración con modelo de hidrología,Por Definir,"1.
2.
3.",,,,S5,0,,0,Backlog,
21,Queremos tener los metadatos de la información geográfica que identifiquemos,S5 -> Agregar capas complementarias e integración con modelo de hidrología,Por Definir,1.quisiera tener un formato mínimo de metadatos ,,,,S5,0,,0,Backlog,
22,"Quisiéramos tener un manual de usuarios de la BD
-carga de información
tipos de usuarios
características base",S8 -> estabilización y entrenamiento usuarios finales,Por Definir,"1.
2.
3.",,,,S8,0,,0,Backlog,
23,"Capas adicionales a incluir en la BD Geográfica 
-Clientes mercado No Regulado
-Cartera
-Facturación",S5 -> Agregar capas complementarias e integración con modelo de hidrología,Por Definir,"1.
2.
3.",,,,S5,0,,0,Backlog,
24,"La BD que almacena hidrometerología no debe depender del software de hidrología, debe ser independiente",S5 -> Agregar capas complementarias e integración con modelo de hidrología,Must Have,"1.
2.
3.",,,,S5,0,,0,Removed,
25,tener acceso con LDAP a la base de datos,"S1 -> Arquitectura y Diseño de Modelo y Diccionario de datos, catalogo de objetos y metadatos ",Nice To Have,1. Tener acceso con usuario de directorio activo enel,,,,S1,0,,0,Removed,"No está dentro de las politicas de seguridad de enel, la historia debe retirarse del backlog"
26,"Recopilar funciones y requerimientos de las areas( quienes son, que necesitan, frecuencia, gerencia) y mapear con roles definidos",S7 -> Despliegue de solución,Should Have,,,,,S7,0,,0,Backlog,
27,Requerimos instalar la extensión de Postgis con todas sus dependencias dentro del servidor de base de datos entregado (en desarrollo),"S2 -> Implementación de Modelo y Diccionario de datos, catalogo de objetos y metadatos ",Must Have,"1. Extensión instalada
2. Pruebas de carga de shapes
3. Pruebas de consulta","Garantizar el funcionamiento de la base de datos espacial
Confiabilidad y calidad de la información
Digitalización de la información",2,6,S2,15,,15,Active,
28,"Requerimos un modelo de Metadatos que permita conocer el origen, características y custodia de la información","S2 -> Implementación de Modelo y Diccionario de datos, catalogo de objetos y metadatos ",Must Have,"1. Estandarizado
2. Trazable mediante el estándar definido
3. Template estándar definido","Garantizar el funcionamiento de la base de datos espacial
Confiabilidad y calidad de la información
Digitalización de la información",5,30,,11,,11,Active,
29,Requerimos una definición de la información adicional incluyendo proyectos y temporal.,"S2 -> Implementación de Modelo y Diccionario de datos, catalogo de objetos y metadatos ",Must Have,"1. Definir información a incluir dentro de cada esquema, entregable excel (modelo de datos, esquemas proyecto y temporal)
2. Cubrir la totalidad de la información suministrada","Estructuración de la información, estandarización, ",5,30,,15,,15,Backlog,
30,"Se requiere un plan de integración para definir qué capas, metadatos, van a ser construidos, cargados y entregados. ","S2 -> Implementación de Modelo y Diccionario de datos, catalogo de objetos y metadatos ",Must Have,"1. Plan de construcción y entrega de metadatos (1 sesión de trabajo)
2. Inicio de la construcción de metadatos
3. Capas estandarizadas que van a ser cargadas. ",,28,,,15,,15,Backlog,
31,"Requerimos que las capas de información se encuentren en correcta georreferenciación, con los atributos definidos en el catálogo de objetos, y sin errores de topología","S2 -> Implementación de Modelo y Diccionario de datos, catalogo de objetos y metadatos ",Must Have,"1. Corrección de la información entregada con respecto a los catálogos de objetos
2. Muestreo del 10% de la información para verificar las correcciones","Garantizar el funcionamiento de la base de datos espacial
Confiabilidad y calidad de la información
Digitalización de la información",5,,,19,,19,Backlog,
